job_title,company,monthly_lump_sum,weekly_lump_sum,incentive,duration_in_days,location,apply_by,applicants,number_of_openings,skill_set,perks,src_url
Quality Analytics,BookMyShow,10000,0,0,180,Mumbai,17 May' 22,32,1,"['Manual Testing', 'MS SQL Server', 'Software Testing']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Informal dress code', ' 5 days a week']",https://internshala.com/internship/detail/quality-analytics-internship-in-mumbai-at-bookmyshow1651555864
iOS App Development,BookMyShow,10000,0,0,90,Mumbai,16 May' 22,0,1,"['iOS', 'Objective C', 'REST API', 'Swift', 'Xcode']","['Certificate', ' Flexible work hours', ' Informal dress code', ' 5 days a week']",https://internshala.com/internship/detail/ios-app-development-internship-in-mumbai-at-bookmyshow1651489200
IT Support,CaratLane Trading Private Limited,10000,0,0,180,Chennai,16 May' 22,0,1,[''],"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Informal dress code', ' Job offer']",https://internshala.com/internship/detail/it-support-internship-in-chennai-at-caratlane-trading-private-limited1651216932
Research Assistance (Truck Simulator Game Software & Vehicle Dynamics),Indian Institute Of Science,25000,0,0,180,Bangalore,11 May' 22,62,1,"['Adobe Photoshop', 'Blender 3D', 'C Programming', 'MATLAB', 'Unity 3D', 'Unity Engine', 'Unreal Engine', 'Vector Dynamics']",['Informal dress code'],https://internshala.com/internship/detail/research-assistance-truck-simulator-game-software-vehicle-dynamics-internship-in-bangalore-at-indian-institute-of-science1650887459
Web Development,CaratLane Trading Private Limited,15000,0,0,180,Chennai,11 May' 22,64,1,[''],[''],https://internshala.com/internship/detail/web-development-internship-in-chennai-at-caratlane-trading-private-limited1650973332
Software Development Engineering (Web),Internshala,20000,0,0,180,Gurgaon,9 May' 22,446,4,"['CSS', 'HTML', 'JavaScript', 'jQuery', 'MySQL', 'PHP']","['Certificate', ' Informal dress code', ' 5 days a week', ' Job offer']",https://internshala.com/internship/detail/software-development-engineering-web-internship-in-gurgaon-at-internshala1650884139
Mobile App Development,Home Of Beautiful Souls Foundation,0,0,0,90,Ahmedabad,5 May' 22,35,10,"['Android', 'Flutter', 'iOS', 'Java', 'PHP', 'REST API']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",https://internshala.com/internship/detail/mobile-app-development-part-time-job-internship-at-ahmedabad-in-home-of-beautiful-souls-foundation1650432974
Web Development (Django),IIT Bombay,1500,0,0,180,Work From Home,3 May' 22,384,1,"['CSS', 'Django', 'Elasticsearch', 'HTML', 'Python']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",https://internshala.com/internship/detail/web-development-django-work-from-home-job-internship-at-iit-bombay1650295533
Project Trainee - Safety Function,Titan Company Limited,15000,0,0,180,Hosur,3 May' 22,301,1,[''],['Certificate'],https://internshala.com/internship/detail/project-trainee-safety-function-internship-in-hosur-at-titan-company-limited1650260231
Data Annotation/Data Analytics,Checkdent,2000,0,100 per dataset annotation,90,Work From Home,17 May' 22,0,5,[''],"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",https://internshala.com/internship/detail/data-annotation-data-analytics-work-from-home-job-internship-at-checkdent1651592359
Backend Development,Tortoise Creative Incorporation (HappilyEver),6000,0,0,90,Work From Home,17 May' 22,0,1,[''],"['Certificate', ' Letter of recommendation', ' Flexible work hours']",https://internshala.com/internship/detail/backend-development-work-from-home-job-internship-at-tortoise-creative-incorporation-happilyever1651464095
Android App Development,Mobiotics,12000,0,0,180,Bangalore,17 May' 22,0,1,"['Android', 'Git SVN', 'Java', 'Kotlin']","['Certificate', ' Letter of recommendation', ' Informal dress code', ' 5 days a week', ' Free snacks & beverages', ' Job offer']",https://internshala.com/internship/detail/android-app-development-internship-in-bangalore-at-mobiotics1651463024
Mobile App Development,Spacenos Technologies Private Limited,11500,0,0,90,Work From Home,17 May' 22,0,1,"['Android', 'Firebase', 'iOS', 'Java', 'Kotlin', 'Node.js', 'ReactJS', 'React Native', 'REST API']",['Flexible work hours'],https://internshala.com/internship/detail/mobile-app-development-work-from-home-job-internship-at-spacenos-technologies-private-limited1651462028
Web Development,Spacenos Technologies Private Limited,11500,0,0,30,Work From Home,17 May' 22,42,1,"['CSS', 'Firebase', 'HTML', 'JavaScript', 'jQuery', 'MySQL', 'Node.js', 'PHP', 'ReactJS']",['Flexible work hours'],https://internshala.com/internship/detail/web-development-work-from-home-job-internship-at-spacenos-technologies-private-limited1651461919
Backend Development,PolBol Media LLP,25000,0,0,60,Work From Home,17 May' 22,0,2,"['MongoDB', 'Node.js', 'TypeScript']","['Certificate', ' Letter of recommendation', ' Flexible work hours']",https://internshala.com/internship/detail/backend-development-work-from-home-job-internship-at-polbol-media-llp1651438015
Front End Development,Red Dot Apps,5000,0,0,180,Work From Home,17 May' 22,29,1,"['AngularJS', 'Bootstrap', 'CSS', 'Git', 'HTML', 'JavaScript', 'jQuery', 'Node.js', 'ReactJS', 'Redux', 'REST API']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",https://internshala.com/internship/detail/front-end-development-work-from-home-job-internship-at-red-dot-apps1651434875
Web Development,OOSH Learnings Private Limted,3000,0,0,180,Work From Home,17 May' 22,41,1,"['Bootstrap', 'CSS', 'HTML']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']",https://internshala.com/internship/detail/web-development-work-from-home-job-internship-at-oosh-learnings-private-limted1651429704
Front End Development,Vplak,8000,0,0,90,Delhi,17 May' 22,40,3,"['CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP']","['Certificate', ' Letter of recommendation', ' Job offer']",https://internshala.com/internship/detail/front-end-development-internship-in-multiple-locations-at-vplak1651584715
Web Development,Fynii Infotech Private Limited,0,2000,0,42,Delhi,17 May' 22,0,1,"['CSS', 'HTML', 'JavaScript', 'MySQL', 'Node.js', 'PHP', 'ReactJS']","['Certificate', ' Letter of recommendation', ' Informal dress code']",https://internshala.com/internship/detail/web-development-part-time-job-internship-at-delhi-in-fynii-infotech-private-limited1651224578
Web Development,Deziniks Private Limited,1000,0,0,90,Work From Home,17 May' 22,102,2,['HTML'],"['Certificate', ' Letter of recommendation', ' Flexible work hours']",https://internshala.com/internship/detail/web-development-work-from-home-job-internship-at-deziniks-private-limited1651424217
DevOps Analysis,Planet NEXTgen Technologies,7000,0,0,180,Mumbai,17 May' 22,0,1,"['Amazon Web Server (AWS)', 'DevOps', 'MS SQL Server', 'SQL']",['Certificate'],https://internshala.com/internship/detail/devops-analysis-internship-in-mumbai-at-planet-nextgen-technologies1651580775
VueJS Development,Oye Busy Technologies Private Limited,3500,0,0,120,Work From Home,17 May' 22,0,5,"['MongoDB', 'Vue Js']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Job offer']",https://internshala.com/internship/detail/vuejs-development-work-from-home-job-internship-at-oye-busy-technologies-private-limited1651413284
Full Stack Web Development (MERN),Elecbits Technologies Private Limited,15000,0,0,90,Delhi,17 May' 22,0,2,"['CSS', 'Express.js', 'HTML', 'Node.js', 'ReactJS', 'REST API', 'TypeScript']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Informal dress code', ' Free snacks & beverages', ' Job offer']",https://internshala.com/internship/detail/full-stack-web-development-mern-internship-in-delhi-gurgaon-at-elecbits-technologies-private-limited1651424343
